Target	Alias
AAT	SERPINA1
ABAT	GABA-T
ACE2	null
ACSS2	null
ACTa2	null
ACTb	null
ACVR1C	ALK7
ACVR2A	null
ACVR2B	null
ADIPOQ	null
AGT	null
AHA1	AHSA1
AIF1	IBA1
ALAS1	null
ALDOB	null
ANGPTL3	ANGPL3,ANG3
ANGPTL4	null
ANGPTL7	null
APOB	null
APOC3	null
APP	null
AR	null
AT3	SERPINC1
ATXN1	null
ATXN2	null
ATXN3	null
C3	null
C5	HC
C9orf72	null
CASP6	null
CCL2	null
CCSP	SCGB1A1
CD207	null
CD274	null
CD31	PECAM1
CD47	null
CD79A	null
CDH2	null
CEBPa	null
CEMIP	null
CFB	null
CFH	null
CFHR5	null
CIDEB	null
CNR1	CB1
COL1a1	null
COX2	PTGS2
CTSB	null
CTSH	null
CUBN	null
CYP11B1	null
CYP11B2	null
DBH	null
DGAT2	null
DMPK	DM1
DNM1L	null
DUX4	null
Eg5	KIF11
ENaC	SCNN1a
ENPP2	null
F10	FX
FAAH	null
FABP4	null
FAM13A	null
FGFR1	null
FGFR4	null
FIX	F9
FLCN	null
FVII	F7
FVII-Primate	F7-Primate
FXI	F11
FXII	F12
GAPDH	null
GATM	null
GeneX	ASGR1
GFAP	null
GFRAL	null
GIPR	null
GPR75	null
GRB14	null
GSDMB	null
GSDMD	null
GSK3b	null
GYS1	null
HAO1	null
HBV	null
HDAC11	null
HDAC6	null
HIF1a	null
Hif2a	EPAS1
HPRT1	null
HRV	null
HSD17b13	null
HSP47	SERPINH1
HTRA1	null
HTT	null
IAPP	null
ICAM2	null
IDO1	null
IGF1R	null
IGF2	null
IL33	null
IL4Ra	IL4R
INHBA	null
INHbE	null
KCNT1	null
KHK	null
KLKB1	null
KRT5	null
LDLR	null
LEP	null
LPA	null
LRP2	null
LUC	null
Lucia	null
M1	M2
MALAT1	null
MAP2	null
MAPT	null
MBP	null
MIR	null
MIR122	null
MLKL	null
MMP12	null
MMP7	null
MMP9	null
MSH3	null
MSTN	null
MTARC1	1-Mar
MUC5AC	null
MUC5B	null
MUNC18B	STXBP2
MYH6	null
MYOC	null
NLRP3	null
None	null
NOX4	null
NP	null
NPHS2	null
NR3C3	PGR
NS1	NEP,NS2
NSMAF	null
P21	CDKN1A
PA	PA-X
PAQR4	null
PB1	PB1-F2
PB2	null
PBRM1	null
PCSK6	null
PCSK9	null
PDE3B	null
PDE4B	null
PDGFRb	null
PHGDH	null
PLD4	null
PLIN1	null
PLK1	null
PNPLA2	ATGL
PNPLA3	null
POGLUT1	null
PPIB	null
PTEN	null
PTPN1	null
RAGE	AGER
rAPOC3	null
RBPMS	null
RELN	null
RHO	null
RHOA	null
RPE65	null
RRM2	null
SaRM1	null
SARS-CoV-2	null
SCARB1	null
SCARB2	null
SCN10A	null
SCN11A	null
SCN9a	null
SCNN1b	null
SFTPA1	null
SHH	null
SLAMF8	null
SLC12A1	null
SLC5A2	SGLT2
SNCA	null
SOD1	null
SP1	null
SPC	SFTPC
SRSF1	null
STAT3	null
survivin	BIRC5
TDO2	null
TIE1	null
TIE2	TEK
TLR4	null
TMPRSS2	null
TNIK	null
TRAT1	TRIM
TREM2	null
TRPV5	null
TSHR	null
TSLP	null
TTR	null
UBE2L6	null
UCP1	null
UMOD	null
UOX	null
VE-cadherin	CDH5
VEGFA	null
VEGFR2	KDR
WNV	null
XDH	null
YAP1	null
YFV	null
